timestamp,action,position_id,strategy,underlying,premium,commission,cash_after,nav_after,close_value,realized_pnl,reason
2024-10-21T16:00:00,OPEN,c834f672,VLO_EARNINGS_CALL_SPREAD,VLO,-544.9999999999999,1.3,10543.7,10543.7,,,
2024-10-23T16:00:00,CLOSE,c834f672,VLO_EARNINGS_CALL_SPREAD,VLO,,1.3,10854.400000000001,10854.400000000001,312.0,-235.59999999999988,STOP_LOSS
2024-10-25T16:00:00,OPEN,91fdc871,MSFT_EARNINGS_CALL_SPREAD,MSFT,-166.0,2.6,11017.800000000001,11017.800000000001,,,
2024-10-25T16:00:00,OPEN,b87c4178,AMD_EARNINGS_CALL_SPREAD,AMD,-634.0,1.3,11650.500000000002,11650.500000000002,,,
2024-10-25T16:00:00,OPEN,a545b5c3,MPC_EARNINGS_CALL_SPREAD,MPC,-737.0,1.3,12386.200000000003,12386.200000000003,,,
2024-10-29T16:00:00,CLOSE,b87c4178,AMD_EARNINGS_CALL_SPREAD,AMD,,1.3,13826.900000000003,14340.900000000003,1442.0,805.4,TAKE_PROFIT
2024-11-01T16:00:00,OPEN,b4c6891e,KRE_BANKS_CALL_SPREAD,KRE,-351.0,1.3,14176.600000000004,14276.600000000004,,,
2024-11-06T16:00:00,CLOSE,b4c6891e,KRE_BANKS_CALL_SPREAD,KRE,,1.3,14653.300000000005,15691.300000000005,478.0000000000001,124.40000000000012,TAKE_PROFIT
2024-11-08T16:00:00,CLOSE,91fdc871,MSFT_EARNINGS_CALL_SPREAD,MSFT,,2.6,14650.700000000004,15519.700000000004,0.0,-171.2,TIME_STOP
2024-11-15T16:00:00,CLOSE,a545b5c3,MPC_EARNINGS_CALL_SPREAD,MPC,,1.3,15901.400000000005,15901.400000000005,1252.000000000001,512.4000000000009,TIME_STOP
